anchor,positive,negative
IGREJA MISSIONARIA UNIDA DO BRASIL - IGREJA MISSIONARIA UNIDA DO BRASIL,IGREJA MISIONARIA,CONGREGACAO CRISTA NO BRASIL - VILA NUNES
IGREJA MISSIONARIA UNIDA DO BRASIL - IGREJA MISSIONARIA UNIDA DO BRASIL,IGREJA MISIONARIA,DEPARTAMENTO MUNICIPAL DE HABITACAO - DEMHAB
REFEICOES NATURAS LTDA - FILIAL 343,REFEICAO NATURA,REFEICOES NATURAS LTDA - NATURAS 463
REFEICOES NATURAS LTDA - FILIAL 343,REFEICAO NATURA,REFEICOES NATURAS LTDA - FILIAL 641
REFEICOES NATURAS LTDA - FILIAL 343,REFEICAO NATURA,REFEICOES NATURAS LTDA - NATURAS 851
CONJUNTO HABITACIONAL SALOME - CONDOMINIO EDIFICIO SELVA DE PEDRA 137,SELVA HABITACIONAL,DEPARTAMENTO MUNICIPAL DE HABITACAO - DEMHAB
CONJUNTO HABITACIONAL SALOME - CONDOMINIO EDIFICIO SELVA DE PEDRA 137,SELVA HABITACIONAL,RESIDENCIAL AGATA - RESIDENCIAL AGATA
CONJUNTO HABITACIONAL SALOME - CONDOMINIO EDIFICIO SELVA DE PEDRA 137,SELVA HABITACIONAL,COOPERATIVA MISTA SAO LUIZ LTDA - COOPERMIL
COMERCIO DE MEDICAMENTOS BRAIR LTDA - FARMACIAS SAO JOAO,FARMASIA SÃO JOÃO,COMERCIO DE MEDICAMENTOS BRAIR LTDA - SAO JOAO FARMACIA
COMERCIO DE MEDICAMENTOS BRAIR LTDA - FARMACIAS SAO JOAO,FARMASIA SÃO JOÃO,PAULO ROMERO FERREIRA JUNIOR SERVICOS MEDICOS LTDA - CLINICA BALANCE
COMERCIO DE MEDICAMENTOS BRAIR LTDA - FARMACIAS SAO JOAO,FARMASIA SÃO JOÃO,COMERCIO DE MEDICAMENTOS BRAIR LTDA - SAO JOAO FARMACIAIS
TERRA SANTA CANAA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA - TERRA SANTA CANAA,SANTA CANAA,BESIX - BESIX
TERRA SANTA CANAA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA - TERRA SANTA CANAA,SANTA CANAA,G. J. LAZAROTO - AGRICOLA LAZAROTTO
TERRA SANTA CANAA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA - TERRA SANTA CANAA,SANTA CANAA,CRBS S/A - CDC CACERES
ANDREA CARVALHO DE MACEDO - QUALYTECH CONST E ASSESSO TEC EM SEG ALIMT E DIETETICA,KALYTEX SEGURANCA,CRBS S/A - CDC CACERES
ANDREA CARVALHO DE MACEDO - QUALYTECH CONST E ASSESSO TEC EM SEG ALIMT E DIETETICA,KALYTEX SEGURANCA,GRAZZIOTIN S A - POR MENOS
ANDREA CARVALHO DE MACEDO - QUALYTECH CONST E ASSESSO TEC EM SEG ALIMT E DIETETICA,KALYTEX SEGURANCA,UNETRAL SA - POSTO UNIAO
ASSOCIACAO BRASILEIRA D'A IGREJA DE JESUS CRISTO DOS SANTOS DOS ULTIMOS DIAS - TAGUATINGA 2 - 528-4775,IGREJA BRASILEIRA,RESIDENCIAL PHOENIX - PHOENIX
ASSOCIACAO BRASILEIRA D'A IGREJA DE JESUS CRISTO DOS SANTOS DOS ULTIMOS DIAS - TAGUATINGA 2 - 528-4775,IGREJA BRASILEIRA,INSTITUTO NASCE - CASA AMPARO
ASSOCIACAO BRASILEIRA D'A IGREJA DE JESUS CRISTO DOS SANTOS DOS ULTIMOS DIAS - TAGUATINGA 2 - 528-4775,IGREJA BRASILEIRA,DEPARTAMENTO MUNICIPAL DE HABITACAO - DEMHAB
TRANSPORTES TRANSLOVATO LTDA - TRANSPORTES TRANSLOVATO LTDA,T. TRANSLOBATO,SAPORE S.A. - CR 307
TRANSPORTES TRANSLOVATO LTDA - TRANSPORTES TRANSLOVATO LTDA,T. TRANSLOBATO,SAPORE S.A. - CR 1002
TRANSPORTES TRANSLOVATO LTDA - TRANSPORTES TRANSLOVATO LTDA,T. TRANSLOBATO,SAPORE S.A. - KREBS
CAMED MICROCREDITO E SERVICOS LTDA - CAMED MICROCREDITO E SERVICOS S/A,CAMED MIKROCREDITO,M J RAMOS BEZERRA LINS - NUTRISERVICE
CAMED MICROCREDITO E SERVICOS LTDA - CAMED MICROCREDITO E SERVICOS S/A,CAMED MIKROCREDITO,MICROSENS S/A - MICROSENS
CAMED MICROCREDITO E SERVICOS LTDA - CAMED MICROCREDITO E SERVICOS S/A,CAMED MIKROCREDITO,GRAZZIOTIN S A - TOTTAL CASA & CONFORTO
DIAGNOSTICOS DA AMERICA S.A . - CERPE,SERPE AMERICA,INSTITUTO NASCE - CASA AMPARO
DIAGNOSTICOS DA AMERICA S.A . - CERPE,SERPE AMERICA,BESIX - BESIX
DIAGNOSTICOS DA AMERICA S.A . - CERPE,SERPE AMERICA,INSTITUTO AGENTE MUDA - I AM
WMS SUPERMERCADOS DO BRASIL LTDA. - MAXXI,MAXXI SUPERMERCADO,COMERCIAL DELTA PONTO CERTO LTDA - SEMPREVALE SUPERMERCADOS
WMS SUPERMERCADOS DO BRASIL LTDA. - MAXXI,MAXXI SUPERMERCADO,BATISTA & IZEPE LTDA - SUPERMERCADO BOM DIA PARAISO
WMS SUPERMERCADOS DO BRASIL LTDA. - MAXXI,MAXXI SUPERMERCADO,SUPERMERCADO PALMITAL LTDA - SUPERMERCADO PALMITAL
ENDOVIEW SERVICOS MEDICOS LTDA - ENDOVIEW - GASTROENTEROLOGIA E ENDOSCOPIA DIGESTIVA,ENDOVIEW SERVIÇOS,BESIX - BESIX
ENDOVIEW SERVICOS MEDICOS LTDA - ENDOVIEW - GASTROENTEROLOGIA E ENDOSCOPIA DIGESTIVA,ENDOVIEW SERVIÇOS,M D MOVEIS LTDA - MADESA
ENDOVIEW SERVICOS MEDICOS LTDA - ENDOVIEW - GASTROENTEROLOGIA E ENDOSCOPIA DIGESTIVA,ENDOVIEW SERVIÇOS,MAB SERVICOS LTDA - MAB SERVICOS
REFEICOES NATURAS LTDA - REFEICOES NATURAS,REFEICAO,INSTITUTO NASCE - CASA AMPARO
REFEICOES NATURAS LTDA - REFEICOES NATURAS,REFEICAO,DEPARTAMENTO MUNICIPAL DE HABITACAO - DEMHAB
REFEICOES NATURAS LTDA - REFEICOES NATURAS,REFEICAO,IB ALIMENTOS LTDA - CPD IMPERADOR
MOVE PROJECT EMPREENDIMENTOS LTDA - MOVE PROJECT EMPREENDIMENTOS,MOVE PROJECT,INSTITUTO NASCE - CASA AMPARO
MOVE PROJECT EMPREENDIMENTOS LTDA - MOVE PROJECT EMPREENDIMENTOS,MOVE PROJECT,BESIX - BESIX
MOVE PROJECT EMPREENDIMENTOS LTDA - MOVE PROJECT EMPREENDIMENTOS,MOVE PROJECT,BLANC RESIDENCE - BLANC RESIDENCE
ASSOCIACAO MOVIMENTO CARTA DE MORRINHOS - ASSOCIACAO MOVIMENTO CARTA DE MORRINHOS,CARTA MOVIMENTO,BESIX - BESIX
ASSOCIACAO MOVIMENTO CARTA DE MORRINHOS - ASSOCIACAO MOVIMENTO CARTA DE MORRINHOS,CARTA MOVIMENTO,CRBS S/A - CDC CACERES
ASSOCIACAO MOVIMENTO CARTA DE MORRINHOS - ASSOCIACAO MOVIMENTO CARTA DE MORRINHOS,CARTA MOVIMENTO,INSTITUTO AGENTE MUDA - I AM
LOJAS QUERO-QUERO S.A. - LOJAS QUERO-QUERO S.A.,KERO QUERO,BESIX - BESIX
LOJAS QUERO-QUERO S.A. - LOJAS QUERO-QUERO S.A.,KERO QUERO,EDIFICIO MIRIAM - LOFT 351
LOJAS QUERO-QUERO S.A. - LOJAS QUERO-QUERO S.A.,KERO QUERO,G. J. LAZAROTO - AGRICOLA LAZAROTTO
LOJAS QUERO-QUERO S.A. - LOJAS QUERO-QUERO,LOJAS KERO,LOJAS CEM SA - LOJAS CEM
LOJAS QUERO-QUERO S.A. - LOJAS QUERO-QUERO,LOJAS KERO,INSTITUTO NASCE - CASA AMPARO
LOJAS QUERO-QUERO S.A. - LOJAS QUERO-QUERO,LOJAS KERO,BESIX - BESIX
ASSOCIACAO BRASILEIRA D'A IGREJA DE JESUS CRISTO DOS SANTOS DOS ULTIMOS DIAS - SAO LOURENCO DO SUL B,LOURENÇO SUL,MILI S/A - MILI
ASSOCIACAO BRASILEIRA D'A IGREJA DE JESUS CRISTO DOS SANTOS DOS ULTIMOS DIAS - SAO LOURENCO DO SUL B,LOURENÇO SUL,COOPERATIVA MISTA SAO LUIZ LTDA - COOPERMIL
ASSOCIACAO BRASILEIRA D'A IGREJA DE JESUS CRISTO DOS SANTOS DOS ULTIMOS DIAS - SAO LOURENCO DO SUL B,LOURENÇO SUL,SAPORE S.A. - CR 1017
KYRIOS COLCHOES LTDA - KYRIOS COLCHOES,KYRIOS CO,CRBS S/A - CDC CACERES
KYRIOS COLCHOES LTDA - KYRIOS COLCHOES,KYRIOS CO,RESIDENCIAL PHOENIX - PHOENIX
KYRIOS COLCHOES LTDA - KYRIOS COLCHOES,KYRIOS CO,GRAZZIOTIN S A - POR MENOS
ASSOCIACAO CAMPINEIRA DE SKATE - ACSKT,ASSOC CAMP SKATE,GRAZZIOTIN S A - TOTTAL
ASSOCIACAO CAMPINEIRA DE SKATE - ACSKT,ASSOC CAMP SKATE,SERV ASSISTENCIA E SEG SOCIAL MUNICIPIARIOS DE FRANCA - SASSOM
ASSOCIACAO CAMPINEIRA DE SKATE - ACSKT,ASSOC CAMP SKATE,INSTITUTO AMAGROUP - INSTITUTO AMAGROUP
SPDM - ASSOCIACAO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA - FACULDADE CEARENSE DE CIENCIAS DA SAUDE,FACULDADE C. SAUDE,UNETRAL SA - POSTO UNIAO
SPDM - ASSOCIACAO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA - FACULDADE CEARENSE DE CIENCIAS DA SAUDE,FACULDADE C. SAUDE,G. B. S. MEDRADO - MUNDIAL CALHAS
SPDM - ASSOCIACAO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA - FACULDADE CEARENSE DE CIENCIAS DA SAUDE,FACULDADE C. SAUDE,PAULO ROMERO FERREIRA JUNIOR SERVICOS MEDICOS LTDA - CLINICA BALANCE
MG SETEL SERVICOS EM TELECOMUNICACOES E ELETRICIDADE LTDA - MG SETEL,SETEL SERVIÇOS,COOPERATIVA MISTA SAO LUIZ LTDA - COOPERMIL
MG SETEL SERVICOS EM TELECOMUNICACOES E ELETRICIDADE LTDA - MG SETEL,SETEL SERVIÇOS,SEST SERVICO SOCIAL DO TRANSPORTE - SEST
MG SETEL SERVICOS EM TELECOMUNICACOES E ELETRICIDADE LTDA - MG SETEL,SETEL SERVIÇOS,VIA CERTA TRANSPORTES E SERVICOS LTDA - MEETBUS
COOPERATIVA TRITICOLA SARANDI LTDA - COTRISAL,COOPERATIVA TRITICOLA,COOPERATIVA TRITICOLA PALMEIRENSE LTDA - COPALMA
COOPERATIVA TRITICOLA SARANDI LTDA - COTRISAL,COOPERATIVA TRITICOLA,COOPERATIVA TRITICOLA TAPERENSE LTDA - COTRISOJA
COOPERATIVA TRITICOLA SARANDI LTDA - COTRISAL,COOPERATIVA TRITICOLA,COOPERATIVA TRITICOLA MISTA CAMPO NOVO LTDA - COTRICAMPO
COOPERMOTA COOPERATIVA AGROINDUSTRIAL - COOPERMOTA,COOPERMOT,RESIDENCIAL PHOENIX - PHOENIX
COOPERMOTA COOPERATIVA AGROINDUSTRIAL - COOPERMOTA,COOPERMOT,BESIX - BESIX
COOPERMOTA COOPERATIVA AGROINDUSTRIAL - COOPERMOTA,COOPERMOT,MILI S/A - MILI
CASA ANGLO BRASILEIRA S.A. MODAS CONFECCOES E BAZAR FALIDO - MAPPIN,MAPPIN MODAS,EOL - EOL
CASA ANGLO BRASILEIRA S.A. MODAS CONFECCOES E BAZAR FALIDO - MAPPIN,MAPPIN MODAS,INSTITUTO NASCE - CASA AMPARO
CASA ANGLO BRASILEIRA S.A. MODAS CONFECCOES E BAZAR FALIDO - MAPPIN,MAPPIN MODAS,RESIDENCIAL PHOENIX - PHOENIX
CAMED MICROCREDITO E SERVICOS LTDA - CAMED MICROCREDITO E SERVICOS LTDA,CAMED SERVIÇO,RESIDENCIAL PHOENIX - PHOENIX
CAMED MICROCREDITO E SERVICOS LTDA - CAMED MICROCREDITO E SERVICOS LTDA,CAMED SERVIÇO,INSTITUTO NASCE - CASA AMPARO
CAMED MICROCREDITO E SERVICOS LTDA - CAMED MICROCREDITO E SERVICOS LTDA,CAMED SERVIÇO,UNETRAL SA - POSTO UNIAO
SECRETARIA DE ESTADO DA SAUDE - AMBULATORIO DE ESPECIALIDADES DR GERALDO PAULO BOURROUL,ESPECIALIDADES SAUDE,FANTINATO SERVICOS SAUDE LTDA - FANTINATO SAUDE
SECRETARIA DE ESTADO DA SAUDE - AMBULATORIO DE ESPECIALIDADES DR GERALDO PAULO BOURROUL,ESPECIALIDADES SAUDE,HUMANA SAUDE LTDA - PRONTO SOCORRO INTENSICOR 24HR
SECRETARIA DE ESTADO DA SAUDE - AMBULATORIO DE ESPECIALIDADES DR GERALDO PAULO BOURROUL,ESPECIALIDADES SAUDE,DEPARTAMENTO MUNICIPAL DE HABITACAO - DEMHAB
SLEEP HOUSE COLCHOES E ACESSORIOS LTDA - SLEEP HOUSE,SLEEP HOUZ COLXOES,CONEXAO EL SHADAI UNITY KIDS LTDA - CONEXAO KIDS
SLEEP HOUSE COLCHOES E ACESSORIOS LTDA - SLEEP HOUSE,SLEEP HOUZ COLXOES,GABRIEL DALMOLIN - GPS PERFORMACE
SLEEP HOUSE COLCHOES E ACESSORIOS LTDA - SLEEP HOUSE,SLEEP HOUZ COLXOES,INSTITUTO NASCE - CASA AMPARO
ASSOCIACAO BRASILEIRA D'A IGREJA DE JESUS CRISTO DOS SANTOS DOS ULTIMOS DIAS - INDEPENDENCIA (GO),INDEPENDENCIA DOS SANTOS,JOSE NILSON CARDOSO DOS SANTOS - KLINS CABELO E ESTETICA
ASSOCIACAO BRASILEIRA D'A IGREJA DE JESUS CRISTO DOS SANTOS DOS ULTIMOS DIAS - INDEPENDENCIA (GO),INDEPENDENCIA DOS SANTOS,DEPARTAMENTO MUNICIPAL DE HABITACAO - DEMHAB
ASSOCIACAO BRASILEIRA D'A IGREJA DE JESUS CRISTO DOS SANTOS DOS ULTIMOS DIAS - INDEPENDENCIA (GO),INDEPENDENCIA DOS SANTOS,A BENEDITO A DOS SANTOS  LTDA - SERVIPRO
FUNDO MUNICIPAL DE EDUCACAO - FME - FUNDO MUNICIPAL DE EDUCACAO - FME,FUNDO MUN DE EDUCACÃO,ACAO EDUCACIONAL CLARETIANA - EDUCLAR
FUNDO MUNICIPAL DE EDUCACAO - FME - FUNDO MUNICIPAL DE EDUCACAO - FME,FUNDO MUN DE EDUCACÃO,INSTITUTO AGENTE MUDA - I AM
FUNDO MUNICIPAL DE EDUCACAO - FME - FUNDO MUNICIPAL DE EDUCACAO - FME,FUNDO MUN DE EDUCACÃO,DEPARTAMENTO MUNICIPAL DE HABITACAO - DEMHAB
FUNDO MUNICIPAL DE CULTURA - FMC - FUNDO MUNICIPAL DE CULTURA - FMC,FMC,BESIX - BESIX
FUNDO MUNICIPAL DE CULTURA - FMC - FUNDO MUNICIPAL DE CULTURA - FMC,FMC,IB ALIMENTOS LTDA - CPD IMPERADOR
FUNDO MUNICIPAL DE CULTURA - FMC - FUNDO MUNICIPAL DE CULTURA - FMC,FMC,MILI S/A - MILI
DAVO SUPERMERCADOS LTDA - AUTO POSTO POUPAKI GUARULHOS,DAVO POSTO,BESIX - BESIX
DAVO SUPERMERCADOS LTDA - AUTO POSTO POUPAKI GUARULHOS,DAVO POSTO,RESIDENCIAL PHOENIX - PHOENIX
DAVO SUPERMERCADOS LTDA - AUTO POSTO POUPAKI GUARULHOS,DAVO POSTO,UNETRAL SA - POSTO UNIAO
COOPERATIVA REGIONAL AURIVERDE - AURIVERDE,AURIVERDE COOP S.A.,SAPORE S.A. - DASA
COOPERATIVA REGIONAL AURIVERDE - AURIVERDE,AURIVERDE COOP S.A.,SAPORE S.A. - KREBS
COOPERATIVA REGIONAL AURIVERDE - AURIVERDE,AURIVERDE COOP S.A.,SAPORE S.A. - SAPORE
SANDER COMERCIO DE COMBUSTIVEIS LTDA - SANDER CENTER,SANDER CENTE,CRBS S/A - CDC CACERES
SANDER COMERCIO DE COMBUSTIVEIS LTDA - SANDER CENTER,SANDER CENTE,TIM CAR LIMITADA - TIM CAR
SANDER COMERCIO DE COMBUSTIVEIS LTDA - SANDER CENTER,SANDER CENTE,INSTITUTO NASCE - CASA AMPARO
INTEC INTEGRACAO NACIONAL DE TRANSPORTES DE ENCOMENDAS E CARGAS LTDA - INTEC,INTEK CARGAS,IB ALIMENTOS LTDA - CPD IMPERADOR
INTEC INTEGRACAO NACIONAL DE TRANSPORTES DE ENCOMENDAS E CARGAS LTDA - INTEC,INTEK CARGAS,INSTITUTO NASCE - CASA AMPARO
INTEC INTEGRACAO NACIONAL DE TRANSPORTES DE ENCOMENDAS E CARGAS LTDA - INTEC,INTEK CARGAS,UNETRAL SA - POSTO UNIAO
SAPORE S.A. - FLEURY,SAPORE,SAPORE S.A. - CR 1002
SAPORE S.A. - FLEURY,SAPORE,BESIX - BESIX
SAPORE S.A. - FLEURY,SAPORE,SAPORE S.A. - CR 1324
LOJAS COLOMBO SA COMERCIO DE UTILIDADES DOMESTICAS - LOJAS COLOMBO,COLONBO UTILIDADES DOMESTICAS,MG COMERCIO DE UTILIDADES DO LAR LTDA - AMERICA UTILIDADES
LOJAS COLOMBO SA COMERCIO DE UTILIDADES DOMESTICAS - LOJAS COLOMBO,COLONBO UTILIDADES DOMESTICAS,DELTASUL UTILIDADES LTDA - MIRANDOLI
LOJAS COLOMBO SA COMERCIO DE UTILIDADES DOMESTICAS - LOJAS COLOMBO,COLONBO UTILIDADES DOMESTICAS,AF PEDROSA SANTOS LTDA - ENFISIO ESPECIALIDADES
BANCO SANTANDER (BRASIL) S.A. - SELECT VILA OLIMPIA,SELECT,TIM CAR LIMITADA - TIM CAR
BANCO SANTANDER (BRASIL) S.A. - SELECT VILA OLIMPIA,SELECT,INSTITUTO NASCE - CASA AMPARO
BANCO SANTANDER (BRASIL) S.A. - SELECT VILA OLIMPIA,SELECT,STAY SELECT SERVICOS LTDA - SELECT IMOB
DROGARIA SAO PAULO S.A. - DROGARIA SAO PAULO,DROGARIA SAO PAULO S.A.,DROGARIA SAO PAULO S.A. - DROGARIA SAO PAULO S.A.
DROGARIA SAO PAULO S.A. - DROGARIA SAO PAULO,DROGARIA SAO PAULO S.A.,DROGARIA SAO PAULO S.A. - DROGRIA SAO PAULO
DROGARIA SAO PAULO S.A. - DROGARIA SAO PAULO,DROGARIA SAO PAULO S.A.,DROGARIA SAO PAULO S.A. - DROGARIA SAO PAULO S.A
COMPANHIA DE PROCESSAMENTO DE DADOS DO ESTADO DE SAO PAULO - PRODESP - PRODESP,PRO DESP CONPANHIA,DN PAES LTDA - ND PAES
COMPANHIA DE PROCESSAMENTO DE DADOS DO ESTADO DE SAO PAULO - PRODESP - PRODESP,PRO DESP CONPANHIA,BESIX - BESIX
COMPANHIA DE PROCESSAMENTO DE DADOS DO ESTADO DE SAO PAULO - PRODESP - PRODESP,PRO DESP CONPANHIA,BABY WORLD LTDA - GARMO
C&A MODAS S.A. - C&A MODAS LTDA,C&A LOJA,SAPORE S.A. - CR 1002
C&A MODAS S.A. - C&A MODAS LTDA,C&A LOJA,SAPORE S.A. - CR 1324
C&A MODAS S.A. - C&A MODAS LTDA,C&A LOJA,SAPORE S.A. - CR 1331
BUNGE ALIMENTOS S/A - N/D,BUNJE ALIMTOS,BESIX - BESIX
BUNGE ALIMENTOS S/A - N/D,BUNJE ALIMTOS,INSTITUTO NASCE - CASA AMPARO
BUNGE ALIMENTOS S/A - N/D,BUNJE ALIMTOS,GRAZZIOTIN S A - TOTTAL
INSTITUICAO PAULISTA ADVENTISTA DE EDUC E ASS SOCIAL - ESCOLA ADVENTISTA DE FERNANDOPOLIS,ESCOLA ADVENTISTA DE FERNANDOPOLIS,INSTITUICAO PAULISTA ADVENTISTA DE EDUC E ASS SOCIAL - ESCOLA ADVENTISTA DE IBIUNA
INSTITUICAO PAULISTA ADVENTISTA DE EDUC E ASS SOCIAL - ESCOLA ADVENTISTA DE FERNANDOPOLIS,ESCOLA ADVENTISTA DE FERNANDOPOLIS,INSTITUICAO PAULISTA ADVENTISTA DE EDUC E ASS SOCIAL - COLEGIO ADVENTISTA DE PAULINIA
INSTITUICAO PAULISTA ADVENTISTA DE EDUC E ASS SOCIAL - ESCOLA ADVENTISTA DE FERNANDOPOLIS,ESCOLA ADVENTISTA DE FERNANDOPOLIS,INSTITUICAO PAULISTA ADVENTISTA DE EDUC E ASS SOCIAL - COLEGIO ADVENTISTA DO TAQUARAL
COTRIJAL COOPERATIVA AGROPECUARIA E INDUSTRIAL - COTRIJAL,COTRIJAL COOP,COMERCIAL SACILOTTO LTDA - DANNY COSMETICOS
COTRIJAL COOPERATIVA AGROPECUARIA E INDUSTRIAL - COTRIJAL,COTRIJAL COOP,DROGARIA CAPILE LTDA - SUPERFARMACIA POPULAR
COTRIJAL COOPERATIVA AGROPECUARIA E INDUSTRIAL - COTRIJAL,COTRIJAL COOP,DROGARIA CAPILE LTDA - FARMA 30 %
MARTINI MEAT S/A ARMAZENS GERAIS - EMERGENT COLD LATAM,COLD MARTINI,RESIDENCIAL PHOENIX - PHOENIX
MARTINI MEAT S/A ARMAZENS GERAIS - EMERGENT COLD LATAM,COLD MARTINI,BLANC RESIDENCE - BLANC RESIDENCE
MARTINI MEAT S/A ARMAZENS GERAIS - EMERGENT COLD LATAM,COLD MARTINI,SAPORE S.A. - CR 1017
BANCO SANTANDER (BRASIL) S.A. - PA - PALMEIRA DOS INDIOS-AL,SANTANDER AL,BESIX - BESIX
BANCO SANTANDER (BRASIL) S.A. - PA - PALMEIRA DOS INDIOS-AL,SANTANDER AL,MILI S/A - MILI
BANCO SANTANDER (BRASIL) S.A. - PA - PALMEIRA DOS INDIOS-AL,SANTANDER AL,GRAZZIOTIN S A - POR MENOS
BANCO SANTANDER (BRASIL) S.A. - AV BRASIL-FOZ IGUACU-PR,SANTANDER,BESIX - BESIX
BANCO SANTANDER (BRASIL) S.A. - AV BRASIL-FOZ IGUACU-PR,SANTANDER,MILI S/A - MILI
BANCO SANTANDER (BRASIL) S.A. - AV BRASIL-FOZ IGUACU-PR,SANTANDER,INSTITUTO NASCE - CASA AMPARO
INSTITUICAO PAULISTA ADVENTISTA DE EDUC E ASS SOCIAL - COLEGIO ADVENTISTA DE SAO CARLOS,COLEGIO ADVENTISTA SÃO CARLOS,INSTITUICAO PAULISTA ADVENTISTA DE EDUC E ASS SOCIAL - COLEGIO ADVENTISTA DO TAQUARAL
INSTITUICAO PAULISTA ADVENTISTA DE EDUC E ASS SOCIAL - COLEGIO ADVENTISTA DE SAO CARLOS,COLEGIO ADVENTISTA SÃO CARLOS,INSTITUICAO ADV DE EDUC E ASSIST SOCIAL ESTE BRASILEIRA - COLEGIO ADVENTISTA DE SAO FRANCISCO
INSTITUICAO PAULISTA ADVENTISTA DE EDUC E ASS SOCIAL - COLEGIO ADVENTISTA DE SAO CARLOS,COLEGIO ADVENTISTA SÃO CARLOS,INSTITUICAO PAULISTA ADVENTISTA DE EDUC E ASS SOCIAL - COLEGIO ADVENTISTA DE PAULINIA
SAPORE S.A. - WALMART RADIAL LESTE,RADIAL WALMART,COMERCIAL ZAFFARI LTDA - STOK CENTER
SAPORE S.A. - WALMART RADIAL LESTE,RADIAL WALMART,BABY WORLD LTDA - GARMO
SAPORE S.A. - WALMART RADIAL LESTE,RADIAL WALMART,VIA VENETO ROUPAS LTDA - BROOKSFIELD JUNIOR
DIOCESE DE PRESIDENTE PRUDENTE - PAROQUIA DE REGENTE FEIJO,PAROKIA PRUDENTE,DIOCESE DE PRESIDENTE PRUDENTE - PAROQUIA SAGRADA FAMILIA
DIOCESE DE PRESIDENTE PRUDENTE - PAROQUIA DE REGENTE FEIJO,PAROKIA PRUDENTE,DIOCESE DE FRANCA - PAROQUIA SANTA LUZIA
DIOCESE DE PRESIDENTE PRUDENTE - PAROQUIA DE REGENTE FEIJO,PAROKIA PRUDENTE,ACAO SOCIAL PAROQUIAL - ASPA SUPERENSE
LC ADMINISTRACAO DE RESTAURANTES LTDA - LC FILIAL N. 307 - VINHEDO/SP,LC FILIAL,BESIX - BESIX
LC ADMINISTRACAO DE RESTAURANTES LTDA - LC FILIAL N. 307 - VINHEDO/SP,LC FILIAL,GRAZZIOTIN S A - POR MENOS
LC ADMINISTRACAO DE RESTAURANTES LTDA - LC FILIAL N. 307 - VINHEDO/SP,LC FILIAL,IB ALIMENTOS LTDA - CPD IMPERADOR
GLOBAL DISTRIBUICAO DE BENS DE CONSUMO LTDA. - IPLACE MOBILE,IPALCE,MILI S/A - MILI
GLOBAL DISTRIBUICAO DE BENS DE CONSUMO LTDA. - IPLACE MOBILE,IPALCE,CRBS S/A - CDC CACERES
GLOBAL DISTRIBUICAO DE BENS DE CONSUMO LTDA. - IPLACE MOBILE,IPALCE,INSTITUTO NASCE - CASA AMPARO
TRANSPORTES SEREIA LTDA - TRANSPORTES SEREIA,TRANSPORTES SERIA LTDA,IB ALIMENTOS LTDA - CPD IMPERADOR
TRANSPORTES SEREIA LTDA - TRANSPORTES SEREIA,TRANSPORTES SERIA LTDA,G B ARCEGA TRANSPORTES LTDA - GBA TRANSPORTES
TRANSPORTES SEREIA LTDA - TRANSPORTES SEREIA,TRANSPORTES SERIA LTDA,EMS TRANSPORTES LTDA - EMS TRANSPORTES
MACEIO PRAIA HOTELARIA SPE LTDA - MACEIO PRAIA HOTELARIA SPE,MACEIO PRAIA,ARJA PET LTDA - CACHORREIROS
MACEIO PRAIA HOTELARIA SPE LTDA - MACEIO PRAIA HOTELARIA SPE,MACEIO PRAIA,DL HOSPEDAGENS LTDA - LOFT CORUJINHA
MACEIO PRAIA HOTELARIA SPE LTDA - MACEIO PRAIA HOTELARIA SPE,MACEIO PRAIA,AGRO PECUARIA FURLAN S A - FAZENDA CABREUVA
COOPERATIVA DOS PLANTADORES DE CANA DO OESTE DO ESTADO DE SAO PAULO - COPERCANA,PLANTADORES CANA,G. J. LAZAROTO - AGRICOLA LAZAROTTO
COOPERATIVA DOS PLANTADORES DE CANA DO OESTE DO ESTADO DE SAO PAULO - COPERCANA,PLANTADORES CANA,BESIX - BESIX
COOPERATIVA DOS PLANTADORES DE CANA DO OESTE DO ESTADO DE SAO PAULO - COPERCANA,PLANTADORES CANA,COOPERATIVA MISTA SAO LUIZ LTDA - COOPERMIL
CDP SUPERMERCADOS LTDA - CESTA DO POVO,SESTA DO POUBO SUPERMERCADOS,SUPERMERCADOS MANENTI LTDA - SUPERMERCADOS MANENTTI
CDP SUPERMERCADOS LTDA - CESTA DO POVO,SESTA DO POUBO SUPERMERCADOS,SALES SUPERMERCADOS LTDA - SALES SUPERMERCADO
CDP SUPERMERCADOS LTDA - CESTA DO POVO,SESTA DO POUBO SUPERMERCADOS,COMERCIAL DELTA PONTO CERTO LTDA - SEMPREVALE SUPERMERCADOS
UNIAO CENTRAL BRASILEIRA DA IGREJA ADVENTISTA DO SETIMO DIA - IASD SUMARE - B. MATAO,IASD B. MATAO,R. M. FERREIRA LTDA - MALACA
UNIAO CENTRAL BRASILEIRA DA IGREJA ADVENTISTA DO SETIMO DIA - IASD SUMARE - B. MATAO,IASD B. MATAO,SILVA & MEM LTDA - ELETROMOVEIS
