positive,anchor,negative
ceagesp  companhia de entrepostos e armazens gerais de sao paulo - ceagesp,seajesp armazens,drogaria sao paulo sa - drogaria sao paulo sa
ceagesp  companhia de entrepostos e armazens gerais de sao paulo - ceagesp,seajesp armazens,banco bradesco sa - bradesco ag miracema do tocantins
ceagesp  companhia de entrepostos e armazens gerais de sao paulo - ceagesp,seajesp armazens,banco do estado do rio grande do sul sa - banrisul sa
gazin industria e comercio de moveis e eletrodomesticos sa - gazin sa,gazin móveis e eletrodomésticos,goiacom comercio distribuicao e servicos ltda - goiacom
gazin industria e comercio de moveis e eletrodomesticos sa - gazin sa,gazin móveis e eletrodomésticos,forte graos e cereais ltda - forte graos e cereais
gazin industria e comercio de moveis e eletrodomesticos sa - gazin sa,gazin móveis e eletrodomésticos,bumo distribuidora de produtos e equipamentos de limpeza ltda - bumo distribuidora de produtos e equipamentos
instituicao paulista adventista de educ e ass social - centro de vida saudavel,bida saudavel,instituicao paulista adventista de educ e ass social - escola adventista de fernandopolis
instituicao paulista adventista de educ e ass social - centro de vida saudavel,bida saudavel,nathalia fava ferreira ltda - nff servicos educacionais
instituicao paulista adventista de educ e ass social - centro de vida saudavel,bida saudavel,cooperativa de credito poupanca e investimento uniao  sicredi uniao rses - unidade de atendimento de bairro do passo
mitra diocesana de sao carlos - paroquia sao nicolau de flue,mitra diocesana,mitra diocesana de rio do sul - paroquia imaculada conceicao
mitra diocesana de sao carlos - paroquia sao nicolau de flue,mitra diocesana,mitra diocesana de sao carlos - paroquia de sao geraldo
mitra diocesana de sao carlos - paroquia sao nicolau de flue,mitra diocesana,diocese de piracicaba - paroquia sao pedro e sao paulo
mitra arquidiocesana de sao paulo - paroquia nossa senhora de fatima,arkidiosesana fatima,mitra arquidiocesana de passo fundo - paroquia sao roque
mitra arquidiocesana de sao paulo - paroquia nossa senhora de fatima,arkidiosesana fatima,arquidiocese de sorocaba - paroquia de sao jose
mitra arquidiocesana de sao paulo - paroquia nossa senhora de fatima,arkidiosesana fatima,mitra diocesana de santos - paroquia do senhor bom jesus
sa viacao aerea riograndense  falida - varig,varig,banco santander brasil sa - sao carlossp ii
sa viacao aerea riograndense  falida - varig,varig,cooperativa de credito poupanca e investimento centro sul  sicredi centro sul prscrj - unidade de atendimento de itaperuna
sa viacao aerea riograndense  falida - varig,varig,viacao cidade tres lagoas spe ltda - vc3
biagro comercio e distribuicao de insumos agropecuarios ltda - biagro,biagro,invicto calcados e acessorios ltda - invicto calcados e acessorios
biagro comercio e distribuicao de insumos agropecuarios ltda - biagro,biagro,bumo distribuidora de produtos e equipamentos de limpeza ltda - bumo distribuidora de produtos e equipamentos
biagro comercio e distribuicao de insumos agropecuarios ltda - biagro,biagro,goiacom comercio distribuicao e servicos ltda - goiacom
mitra diocesana de sao carlos - paroquia de sao judas tadeu,sao carlos paroquia,mitra diocesana de santos - paroquia do senhor bom jesus
mitra diocesana de sao carlos - paroquia de sao judas tadeu,sao carlos paroquia,mitra diocesana de sao carlos - paroquia de sao geraldo
mitra diocesana de sao carlos - paroquia de sao judas tadeu,sao carlos paroquia,mitra arquidiocesana de sao paulo - paroquia nossa senhora do carmo
comercial de hortifruti andrade ribeiro ltda - ra agronegocios,comercial andrade,frederico cavalheiro canhoto ltda - frederico cavalheiro canhoto ltda
comercial de hortifruti andrade ribeiro ltda - ra agronegocios,comercial andrade,agropecuaria faleiro ltda - agropecuaria faleiro
comercial de hortifruti andrade ribeiro ltda - ra agronegocios,comercial andrade,comercio de combustiveis nevoeiro ltda - rede nevoeiro
hrpm participacoes ltda - hrpm participacoes ltda,hrpm patisipacoes,m s s de campos terraplanagem - v a da silva terraplanagem
hrpm participacoes ltda - hrpm participacoes ltda,hrpm patisipacoes,coelho construcoes limitada - coelho construcoes
hrpm participacoes ltda - hrpm participacoes ltda,hrpm patisipacoes,prime construcoes ltda - prime construcoes
sao paulo secretaria da administracao penitenciaria - penitenciaria ii de itapetininga,administracao penitensiaria,sao paulo secretaria da administracao penitenciaria - penitenciaria de ribeirao preto
sao paulo secretaria da administracao penitenciaria - penitenciaria ii de itapetininga,administracao penitensiaria,sao paulo secretaria da administracao penitenciaria - penitenciaria de paraguacu paulista
sao paulo secretaria da administracao penitenciaria - penitenciaria ii de itapetininga,administracao penitensiaria,sao paulo secretaria da administracao penitenciaria - escola de administracao penitenciaria
igreja missionaria unida do brasil - igreja missionaria unida do brasil,igreja misionaria,uniao central brasileira da igreja adventista do setimo dia - iasd sao jose do rio preto  alto da boa vista
igreja missionaria unida do brasil - igreja missionaria unida do brasil,igreja misionaria,uniao central brasileira da igreja adventista do setimo dia - iasd sao jose do rio preto  vila toninho
igreja missionaria unida do brasil - igreja missionaria unida do brasil,igreja misionaria,igreja evangelica assembleia de deus paulistana - igreja assembleia de deus paulistanabarueri
supermercado hirota ltda - hirota express em casa reserva da serra,hirota em casa,banco bradesco sa - bradesco ag miracema do tocantins
supermercado hirota ltda - hirota express em casa reserva da serra,hirota em casa,supermercado hirota ltda - hirota express em casa cond resid dez anhaia mello
supermercado hirota ltda - hirota express em casa reserva da serra,hirota em casa,nilda almeida dos santos supermercado ltda - supermercado dois coracoes
refeicoes naturas ltda - filial 343,refeicao natura,prime construcoes ltda - prime construcoes
refeicoes naturas ltda - filial 343,refeicao natura,forte graos e cereais ltda - forte graos e cereais
refeicoes naturas ltda - filial 343,refeicao natura,super mercado sao roque ltda - supermercado sao roque ltda
conjunto habitacional salome - condominio edificio selva de pedra 137,selva habitacional,condominio residencial salesopolis - condominio residencial salesopolis
conjunto habitacional salome - condominio edificio selva de pedra 137,selva habitacional,condominio do edificio monalisa - edificio monalisa
conjunto habitacional salome - condominio edificio selva de pedra 137,selva habitacional,bolognesi empreendimentos ltda - condominio residencial moradas do bosque 939
comercio de medicamentos brair ltda - farmacias sao joao,farmasia são joão,forte graos e cereais ltda - forte graos e cereais
comercio de medicamentos brair ltda - farmacias sao joao,farmasia são joão,comercio de medicamentos brair ltda - saojoao farmacias
comercio de medicamentos brair ltda - farmacias sao joao,farmasia são joão,goiacom comercio distribuicao e servicos ltda - goiacom
terra santa canaa empreendimentos imobiliarios spe ltda - terra santa canaa,santa canaa,construir 35 empreendimentos imobiliarios sa - construir 35
terra santa canaa empreendimentos imobiliarios spe ltda - terra santa canaa,santa canaa,invicto calcados e acessorios ltda - invicto calcados e acessorios
terra santa canaa empreendimentos imobiliarios spe ltda - terra santa canaa,santa canaa,forte graos e cereais ltda - forte graos e cereais
associacao brasileira da igreja de jesus cristo dos santos dos ultimos dias - taguatinga 2  5284775,igreja brasileira,associacao brasileira da igreja de jesus cristo dos santos dos ultimos dias - vila fernandes canoas niteroi
associacao brasileira da igreja de jesus cristo dos santos dos ultimos dias - taguatinga 2  5284775,igreja brasileira,uniao central brasileira da igreja adventista do setimo dia - iasd mirandopolis  centro
associacao brasileira da igreja de jesus cristo dos santos dos ultimos dias - taguatinga 2  5284775,igreja brasileira,uniao central brasileira da igreja adventista do setimo dia - iasd itapetininga  jardim casa grande
transportes translovato ltda - transportes translovato ltda,t. translobato,tj transportes ltda - tj transportes
transportes translovato ltda - transportes translovato ltda,t. translobato,prime construcoes ltda - prime construcoes
transportes translovato ltda - transportes translovato ltda,t. translobato,invicto calcados e acessorios ltda - invicto calcados e acessorios
copacolcooperativa agroindustrial consolata - copacol,coop agroindustrial,cocamar cooperativa agroindustrial - cocamar
copacolcooperativa agroindustrial consolata - copacol,coop agroindustrial,cooperativa de credito poupanca e investimento centro sul  sicredi centro sul prscrj - unidade de atendimento de itaperuna
copacolcooperativa agroindustrial consolata - copacol,coop agroindustrial,cooperativa agroindustrial alfa - cooperativa agroindustrial alfa
camed microcredito e servicos ltda - camed microcredito e servicos sa,camed mikrocredito,invicto calcados e acessorios ltda - invicto calcados e acessorios
camed microcredito e servicos ltda - camed microcredito e servicos sa,camed mikrocredito,drogaria sao paulo sa - drogaria sao paulo
camed microcredito e servicos ltda - camed microcredito e servicos sa,camed mikrocredito,drogaria sao paulo sa - drogaria sao paulo sa
diagnosticos da america sa - cerpe,serpe america,colsan  associacao beneficente de coleta de sangue - agencia transfusional do hospital reginoal sul
diagnosticos da america sa - cerpe,serpe america,biocenter laboratorio de analises clinicas ltda - biocenter laboratorio
diagnosticos da america sa - cerpe,serpe america,diagnosticos da america sa - ghanem laboratorio e saude
wms supermercados do brasil ltda - maxxi,maxxi supermercado,wms supermercados do brasil ltda - posto camboriu
wms supermercados do brasil ltda - maxxi,maxxi supermercado,savegnagosupermercados ltda - paulistao atacadista
wms supermercados do brasil ltda - maxxi,maxxi supermercado,i7 tec solucoes ltda - i7 tec solucoes
endoview servicos medicos ltda - endoview  gastroenterologia e endoscopia digestiva,endoview serviços,azenha empreendimentos imobiliarios ltda - azenha empreendimentos imobiliarios
endoview servicos medicos ltda - endoview  gastroenterologia e endoscopia digestiva,endoview serviços,invicto calcados e acessorios ltda - invicto calcados e acessorios
endoview servicos medicos ltda - endoview  gastroenterologia e endoscopia digestiva,endoview serviços,forte graos e cereais ltda - forte graos e cereais
refeicoes naturas ltda - refeicoes naturas,refeicao,refeicoes naturas ltda - refeicoes naturas ltda
refeicoes naturas ltda - refeicoes naturas,refeicao,refeicoes naturas ltda - naturas
refeicoes naturas ltda - refeicoes naturas,refeicao,jth construcoes ltda - jth construcoes
move project empreendimentos ltda - move project empreendimentos,move project,rjb empreendimentos e participacoes ltda - jbr empreendimentos e participacoes
move project empreendimentos ltda - move project empreendimentos,move project,azenha empreendimentos imobiliarios ltda - azenha empreendimentos imobiliarios
move project empreendimentos ltda - move project empreendimentos,move project,plaenge empreendimentos ltda - palm 235
associacao movimento carta de morrinhos - associacao movimento carta de morrinhos,carta movimento,associacao lar sao francisco de assis na providencia de deus - nucleo de prod a padroeira n s ap na prov de deus
associacao movimento carta de morrinhos - associacao movimento carta de morrinhos,carta movimento,igreja evangelica assembleia de deus - igreja evangelica assembleia de deusbairro saramandaia
associacao movimento carta de morrinhos - associacao movimento carta de morrinhos,carta movimento,crbs sa - cdd foz do iguacu
tavares e filhos holding ltda - tavares e filhos holding,tavares filhos holding,jth construcoes ltda - jth construcoes
tavares e filhos holding ltda - tavares e filhos holding,tavares filhos holding,drogaria sao paulo sa - drogaria sao paulo
tavares e filhos holding ltda - tavares e filhos holding,tavares filhos holding,drogaria sao paulo sa - drogaria sao paulo sa
lojas queroquero sa - lojas queroquero sa,kero quero,banco santander brasil sa - getulio vargaschapecosc
lojas queroquero sa - lojas queroquero sa,kero quero,mitra diocesana de campo limpo - paroquia de santa terezinha
lojas queroquero sa - lojas queroquero sa,kero quero,instituicao adv de educ e assist social este brasileira - colegio adventista de cachoeiro de itapemirim
